industry_skill,gap_status,demand_percentage,recommended_priority,recommended_action,explanation
Reporting Analyst,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reporting Analysis,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Currency Trading,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Currency Chest,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Curing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cummins Generators,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Culverts,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Culture,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Culinary Associate,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Ctrm,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Ctr,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirement E&I Engineer in Mumbai,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Required HR skills include strong communication,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Required Basic Knowledge Of All Departments In Manufacturing Industry,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Required Basic Computer Knowledge,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requests,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Request Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reputation Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cto,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Ctm,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Ctet,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Csutomer care,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cst,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Css3,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cspo,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Csp,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Representation before Tax Authorities,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirement planning,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirement gathering,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Csim,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cs Fundamentals,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crystal Reports,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crystal,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crushing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crude Oil,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crud,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crt,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirement analysis,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirement Welding Engineer in Pune,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirement Site Project Manager in Pune,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirement Planning,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirement Gathering & Analysis,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirement Epeditor ( Mech ) in Mumbai,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Residential Buildings,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Residential Building,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resharper,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reservations Executive,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reservation Handling,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Research and development,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Research and Development,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Research analysis and interpretation of various tax laws,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Research Team,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Research Skills,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Research Methodology,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Research Associate,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Research And Deign,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Research & Development Executive,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirements Gathering,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Requirements Credit Controller in Mumbai,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Residential sales,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Residential Property Sales,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Residential Property,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Residential Leasing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Residential Interior,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cross-functional Coordination,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cross selling,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cross functional coordination,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cross border- Compliance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cross border transaction,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cross Sell,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cross Platform,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cross Browser Testing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crosplane,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crop,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Residential Drawings,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Criminal Matters,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Criminal Cases,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cricket,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cribl,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
CrewAI,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crew AI,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crestron,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crm Sales,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crm Marketing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crm Integration,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Crm Application,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Critical Incident Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resolving complaints,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resolving Customer Issues,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resolve Customer Issues,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resolution of Queries & Complaints,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Responsible Ai,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Creo Auto Cad,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credo,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Creditors,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit risk management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit research,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit policy,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit or Market Risk Models testing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit operations,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Respon,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resource planning,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resource Source Code Review,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resource Planning & Allocation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resource Manager,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resource Deployment,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Resource Augmentation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit Operation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit Notes,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit Note Settlement,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit Note / Debit Note Processing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit card Salesman,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit administration,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit Worthiness,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit Risk/Regulatory risk  domain,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit Risk Strategy,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Credit Risk Analyst,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rest Api Automation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
